Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001,SE_T157_001
"29189216900","14000US29189216900","Census Tract 2169, St. Louis County, Missouri","Census Tract 2169, St. Louis County, Missouri","mo","140","00","ACSSF","0005436",,,,,"29","189",,,,"216900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31215,0.4325
"29189217000","14000US29189217000","Census Tract 2170, St. Louis County, Missouri","Census Tract 2170, St. Louis County, Missouri","mo","140","00","ACSSF","0005437",,,,,"29","189",,,,"217000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52881,0.4663
"29189217200","14000US29189217200","Census Tract 2172, St. Louis County, Missouri","Census Tract 2172, St. Louis County, Missouri","mo","140","00","ACSSF","0005438",,,,,"29","189",,,,"217200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42346,0.3784
"29189217300","14000US29189217300","Census Tract 2173, St. Louis County, Missouri","Census Tract 2173, St. Louis County, Missouri","mo","140","00","ACSSF","0005439",,,,,"29","189",,,,"217300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78289,0.3804
"29189217400","14000US29189217400","Census Tract 2174, St. Louis County, Missouri","Census Tract 2174, St. Louis County, Missouri","mo","140","00","ACSSF","0005440",,,,,"29","189",,,,"217400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72907,0.4798
"29189217500","14000US29189217500","Census Tract 2175, St. Louis County, Missouri","Census Tract 2175, St. Louis County, Missouri","mo","140","00","ACSSF","0005441",,,,,"29","189",,,,"217500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150481,0.4634
"29189217600","14000US29189217600","Census Tract 2176, St. Louis County, Missouri","Census Tract 2176, St. Louis County, Missouri","mo","140","00","ACSSF","0005442",,,,,"29","189",,,,"217600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127298,0.4941
"29189217701","14000US29189217701","Census Tract 2177.01, St. Louis County, Missouri","Census Tract 2177.01, St. Louis County, Missouri","mo","140","00","ACSSF","0005443",,,,,"29","189",,,,"217701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160076,0.5096
"29189217702","14000US29189217702","Census Tract 2177.02, St. Louis County, Missouri","Census Tract 2177.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005444",,,,,"29","189",,,,"217702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119419,0.4728
"29189217802","14000US29189217802","Census Tract 2178.02, St. Louis County, Missouri","Census Tract 2178.02, St. Louis County, Missouri","mo","140","00","ACSSF","0005445",,,,,"29","189",,,,"217802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93102,0.4099
